CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.02.01.02;Títulos Designados a Valor Justo;15141950.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.02.01.03;Títulos e valores mobiliários;0.0000000000;N
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.02.01.03;Títulos e valores mobiliários;0.0000000000;N
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.03;Contas a Receber;5575589.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.03;Contas a Receber;7747122.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.03.01;Clientes;5575589.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.03.01;Clientes;7747122.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.04;Estoques;422546.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.04;Estoques;421522.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.04.01;Almoxarifado;422546.0000000000;N
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.04.01;Almoxarifado;421522.0000000000;N
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.01.05;Ativos Biológicos;0.0000000000;S
